country_code,country,measure_code,measure,unit_code,unit,market_type_code,market_type,pharmaceutical_code,pharmaceutical,year,value,obs_status,obs_status2,obs_status3,unit_multiplier,decimals
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,TPP,Third-party-payer market,_Z,Not applicable,2021,12.9,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,TPP,Third-party-payer market,_Z,Not applicable,2022,12.8,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,TPP,Third-party-payer market,_Z,Not applicable,2023,12.6,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2010,26.4,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2011,27.5,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2012,29.1,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2013,31,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2014,32,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2015,32.5,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2016,32.1,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2017,32.5,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2018,33.6,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2019,35.6,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2020,36.1,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2021,35.7,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2022,37.4,0,,,0,
AUT,Austria,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,TPP,Third-party-payer market,_Z,Not applicable,2023,38.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2005,8.4,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2006,9.7,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2007,9.9,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2008,10,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2009,10.8,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2010,11.4,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2011,11.8,,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,_T,Total,_Z,Not applicable,2012,12.4,,,,0,
